HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021),"Maternal Mortality Ratio (deaths per 100,000 live births) Average (1990-1999)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2000-2010)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2011-2021)"
1,Switzerland,0.962,84.0,16.5,13.9,"66,933",5,Europe,Northern Hemisphere,Very High,,0.11599999999999999,0.08,0.036,8.0,6.5,5.5
2,Norway,0.961,83.2,18.2,13.0,"64,660",6,Europe,Northern Hemisphere,Very High,,0.116,0.086,0.039,6.5,5.0,3.0
3,Iceland,0.959,82.7,19.2,13.8,"55,782",11,Europe,Northern Hemisphere,Very High,,0.16599999999999998,0.11699999999999999,0.0655,7.0,5.5,4.5
5,Australia,0.951,84.5,21.1,12.7,"49,238",18,Oceania,Southern Hemisphere,Very High,,0.17049999999999998,0.14350000000000002,0.10200000000000001,7.5,6.0,6.0
6,Denmark,0.948,81.4,18.7,13.0,"60,365",6,Europe,Northern Hemisphere,Very High,,0.08349999999999999,0.062,0.028499999999999998,9.5,6.5,4.5
7,Sweden,0.947,83.0,19.4,12.6,"54,489",9,Europe,Northern Hemisphere,Very High,,0.08,0.055999999999999994,0.0375,6.5,4.5,4.5
8,Ireland,0.945,82.0,18.9,11.6,"76,169",-3,Europe,Northern Hemisphere,Very High,,0.2075,0.1825,0.10700000000000001,6.5,6.5,6.0
9,Germany,0.942,80.6,17.0,14.1,"54,534",6,Europe,Northern Hemisphere,Very High,,0.155,0.1145,0.08149999999999999,8.5,6.5,6.5
10,Netherlands,0.941,81.7,18.7,12.6,"55,979",3,Europe,Northern Hemisphere,Very High,,0.107,0.076,0.036500000000000005,11.5,10.0,6.0
11,Finland,0.94,82.0,19.1,12.9,"49,452",11,Europe,Northern Hemisphere,Very High,,0.095,0.07700000000000001,0.0485,5.5,5.0,3.5
12,Singapore,0.939,82.8,16.5,11.9,"90,919",-10,Asia,Northern Hemisphere,Very High,EAP,0.2565,0.17450000000000002,0.063,12.5,11.5,9.0
13,Belgium,0.937,81.9,19.6,12.4,"52,293",7,Europe,Northern Hemisphere,Very High,,0.1545,0.113,0.069,8.0,7.0,5.5
13,New Zealand,0.937,82.5,20.3,12.9,"44,057",16,Oceania,Southern Hemisphere,Very High,,0.22,0.1805,0.124,15.0,11.5,9.5
15,Canada,0.936,82.7,16.4,13.8,"46,808",9,America,Northern Hemisphere,Very High,,0.175,0.14150000000000001,0.096,8.0,10.0,10.5
16,Liechtenstein,0.935,83.3,15.2,12.5,"146,830",-15,Europe,Northern Hemisphere,Very High,,,,,,,
17,Luxembourg,0.93,82.6,14.4,13.0,"84,649",-13,Europe,Northern Hemisphere,Very High,,0.1875,0.1395,0.0665,11.0,9.0,6.5
18,United Kingdom,0.929,80.7,17.3,13.4,"45,225",9,Europe,Northern Hemisphere,Very High,,0.2455,0.1945,0.1335,9.5,10.0,8.0
19,Japan,0.925,84.8,15.2,13.4,"42,274",12,Asia,Northern Hemisphere,Very High,,0.1585,0.1305,0.098,11.0,7.5,5.5
21,United States,0.921,77.2,16.3,13.7,"64,765",-14,America,Northern Hemisphere,Very High,,0.2855,0.2615,0.21,11.5,13.5,17.0
22,Israel,0.919,82.3,16.1,13.3,"41,524",10,Asia,Northern Hemisphere,Very High,,0.23500000000000001,0.16899999999999998,0.11050000000000001,9.5,5.5,3.5
23,Malta,0.918,83.8,16.8,12.2,"38,884",12,Europe,Northern Hemisphere,Very High,,0.3015,0.2815,0.21350000000000002,10.5,8.5,6.5
23,Slovenia,0.918,80.7,17.7,12.8,"39,746",10,Europe,Northern Hemisphere,Very High,,0.2395,0.1585,0.0745,12.0,10.0,7.5
25,Austria,0.916,81.6,16.0,12.3,"53,619",-8,Europe,Northern Hemisphere,Very High,,0.1745,0.13,0.078,7.0,5.5,5.0
26,United Arab Emirates,0.911,78.7,15.7,12.7,"62,574",-15,Asia,Northern Hemisphere,Very High,AS,0.632,0.39,0.11499999999999999,10.0,5.0,3.5
27,Spain,0.905,83.0,17.9,10.6,"38,354",10,Europe,Northern Hemisphere,Very High,,0.16999999999999998,0.11699999999999999,0.076,5.5,4.5,4.0
28,France,0.903,82.5,15.8,11.6,"45,937",-2,Europe,Northern Hemisphere,Very High,,0.21000000000000002,0.162,0.10450000000000001,11.5,9.5,8.5
29,Cyprus,0.896,81.2,15.6,12.4,"38,188",9,Asia,Northern Hemisphere,Very High,,0.308,0.1845,0.13,12.5,11.0,7.0
30,Italy,0.895,82.9,16.2,10.7,"42,840",0,Europe,Northern Hemisphere,Very High,,0.199,0.1545,0.0875,5.5,3.0,2.0
31,Estonia,0.89,77.1,15.9,13.5,"38,048",8,Europe,Northern Hemisphere,Very High,,0.336,0.22250000000000003,0.1395,35.5,20.0,11.0
32,Czechia,0.889,77.7,16.2,12.9,"38,745",4,Europe,Northern Hemisphere,Very High,,0.239,0.1575,0.129,10.0,5.5,3.5
33,Greece,0.887,80.1,20.0,11.4,"29,002",17,Europe,Northern Hemisphere,Very High,,0.26849999999999996,0.1785,0.1295,4.5,3.0,3.0
34,Poland,0.876,76.5,16.0,13.2,"33,034",8,Europe,Northern Hemisphere,Very High,,0.23450000000000001,0.1825,0.1305,12.0,5.0,2.5
35,Bahrain,0.875,78.8,16.3,11.0,"39,497",-1,Asia,Northern Hemisphere,Very High,AS,,0.252,0.20400000000000001,20.5,22.5,14.5
35,Lithuania,0.875,73.7,16.3,13.5,"37,931",5,Europe,Northern Hemisphere,Very High,,0.2815,0.20600000000000002,0.129,23.0,13.5,9.0
35,Saudi Arabia,0.875,76.9,16.1,11.3,"46,112",-10,Asia,Northern Hemisphere,Very High,AS,,0.651,0.445,32.5,21.5,17.5
38,Portugal,0.866,81.0,16.9,9.6,"33,155",3,Europe,Northern Hemisphere,Very High,,0.223,0.161,0.0935,11.5,9.5,8.5
39,Latvia,0.863,73.6,16.2,13.3,"32,803",4,Europe,Northern Hemisphere,Very High,,0.3495,0.253,0.189,43.5,30.0,22.5
40,Andorra,0.858,80.4,13.3,10.6,"51,167",-19,Europe,Northern Hemisphere,Very High,,,,,,,
40,Croatia,0.858,77.6,15.1,12.2,"30,132",8,Europe,Northern Hemisphere,Very High,,0.27849999999999997,0.1635,0.113,10.5,10.0,8.5
42,Chile,0.855,78.9,16.7,10.9,"24,563",14,America,Southern Hemisphere,Very High,LAC,0.476,0.384,0.257,49.0,25.5,15.5
42,Qatar,0.855,79.3,12.6,10.0,"87,134",-39,Asia,Northern Hemisphere,Very High,AS,,0.541,0.38,15.5,12.0,9.5
44,San Marino,0.853,80.9,12.3,10.8,"52,654",-25,Europe,Northern Hemisphere,Very High,,,,,,,
45,Slovakia,0.848,74.9,14.5,12.9,"30,690",1,Europe,Northern Hemisphere,Very High,,0.253,0.20900000000000002,0.19,10.0,7.0,5.5
46,Hungary,0.846,74.5,15.0,12.2,"32,789",-2,Europe,Northern Hemisphere,Very High,,0.318,0.26549999999999996,0.23149999999999998,20.0,14.5,12.5
47,Argentina,0.842,75.4,17.9,11.1,"20,925",17,America,Southern Hemisphere,Very High,LAC,0.4285,0.38849999999999996,0.3245,77.0,58.5,43.5
49,Montenegro,0.832,76.3,15.1,12.2,"20,839",16,Europe,Northern Hemisphere,Very High,ECA,,0.207,0.154,12.0,9.5,6.5
50,Kuwait,0.831,78.7,15.3,7.3,"52,920",-32,Asia,Northern Hemisphere,Very High,AS,0.5774999999999999,0.3925,0.2605,10.5,10.0,11.0
52,Russian Federation,0.822,69.4,15.8,12.8,"27,166",-1,Europe,Northern Hemisphere,Very High,,0.41900000000000004,0.355,0.252,60.0,40.5,20.0
53,Romania,0.821,74.2,14.2,11.3,"30,027",-4,Europe,Northern Hemisphere,Very High,,0.48,0.396,0.3115,94.5,40.5,21.5
54,Oman,0.816,72.5,14.6,11.7,"27,054",-2,Asia,Northern Hemisphere,Very High,AS,,0.335,0.314,23.0,19.0,18.5
55,Bahamas,0.812,71.6,12.9,12.6,"30,486",-8,America,Northern Hemisphere,Very High,LAC,0.3945,0.376,0.34550000000000003,71.0,76.5,74.0
56,Kazakhstan,0.811,69.4,15.8,12.3,"23,943",1,Asia,Northern Hemisphere,Very High,ECA,0.4065,0.3275,0.21500000000000002,69.0,41.5,14.5
