HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,ISO3,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021)
180,Afghanistan,0.478,62.0,10.3,3.0,"1,824",-2,AFG,Asia,Northern Hemisphere,Low,SA,,0.753,0.712
148,Angola,0.586,61.6,12.2,5.4,"5,466",-14,AGO,Africa,Southern Hemisphere,Medium,SSA,0.7015,0.611,0.5405
67,Albania,0.796,76.5,14.4,11.3,"14,131",17,ALB,Europe,Northern Hemisphere,High,ECA,0.33,0.2825,0.198
40,Andorra,0.858,80.4,13.3,10.6,"51,167",-19,AND,Europe,Northern Hemisphere,Very High,,,,
26,United Arab Emirates,0.911,78.7,15.7,12.7,"62,574",-15,ARE,Asia,Northern Hemisphere,Very High,AS,0.632,0.39,0.11499999999999999
47,Argentina,0.842,75.4,17.9,11.1,"20,925",17,ARG,America,Southern Hemisphere,Very High,LAC,0.4285,0.38849999999999996,0.3245
85,Armenia,0.759,72.0,13.1,11.3,"13,158",4,ARM,Asia,Northern Hemisphere,High,ECA,0.46599999999999997,0.39949999999999997,0.279
71,Antigua and Barbuda,0.788,78.5,14.2,9.3,"16,792",2,ATG,America,Northern Hemisphere,High,LAC,,,
5,Australia,0.951,84.5,21.1,12.7,"49,238",18,AUS,Oceania,Southern Hemisphere,Very High,,0.17049999999999998,0.14350000000000002,0.10200000000000001
25,Austria,0.916,81.6,16.0,12.3,"53,619",-8,AUT,Europe,Northern Hemisphere,Very High,,0.1745,0.13,0.078
91,Azerbaijan,0.745,69.4,13.5,10.5,"14,257",-8,AZE,Asia,Northern Hemisphere,High,ECA,0.351,0.346,0.3165
187,Burundi,0.426,61.7,10.7,3.1,732,4,BDI,Africa,Southern Hemisphere,Low,SSA,0.655,0.5780000000000001,0.521
13,Belgium,0.937,81.9,19.6,12.4,"52,293",7,BEL,Europe,Northern Hemisphere,Very High,,0.1545,0.113,0.069
166,Benin,0.525,59.8,10.8,4.3,"3,409",-7,BEN,Africa,Northern Hemisphere,Low,SSA,0.6855,0.646,0.614
184,Burkina Faso,0.449,59.3,9.1,2.1,"2,118",-8,BFA,Africa,Northern Hemisphere,Low,SSA,0.68,0.646,0.617
129,Bangladesh,0.661,72.4,12.4,7.4,"5,472",4,BGD,Asia,Northern Hemisphere,Medium,SA,0.7104999999999999,0.6479999999999999,0.562
68,Bulgaria,0.795,71.8,13.9,11.4,"23,079",-8,BGR,Europe,Northern Hemisphere,High,,0.348,0.281,0.22349999999999998
35,Bahrain,0.875,78.8,16.3,11.0,"39,497",-1,BHR,Asia,Northern Hemisphere,Very High,AS,,0.252,0.20400000000000001
55,Bahamas,0.812,71.6,12.9,12.6,"30,486",-8,BHS,America,Northern Hemisphere,Very High,LAC,0.3945,0.376,0.34550000000000003
74,Bosnia and Herzegovina,0.78,75.3,13.8,10.5,"15,242",4,BIH,Europe,Northern Hemisphere,High,ECA,,0.222,0.162
60,Belarus,0.808,72.4,15.2,12.1,"18,849",8,BLR,Europe,Northern Hemisphere,Very High,ECA,,0.151,0.1275
123,Belize,0.683,70.5,13.0,8.8,"6,309",6,BLZ,America,Northern Hemisphere,Medium,LAC,0.5305,0.483,0.4085
87,Brazil,0.754,72.8,15.6,8.1,"14,370",-5,BRA,America,Southern Hemisphere,High,LAC,0.534,0.47850000000000004,0.4185
70,Barbados,0.79,77.6,15.7,9.9,"12,306",26,BRB,America,Northern Hemisphere,High,LAC,0.38649999999999995,0.3405,0.29200000000000004
127,Bhutan,0.666,71.8,13.2,5.2,"9,438",-15,BTN,Asia,Northern Hemisphere,Medium,SA,,0.526,0.46399999999999997
117,Botswana,0.693,61.1,12.3,10.3,"16,198",-43,BWA,Africa,Southern Hemisphere,Medium,SSA,0.5720000000000001,0.514,0.48750000000000004
188,Central African Republic,0.404,53.9,8.0,4.3,966,1,CAF,Africa,Northern Hemisphere,Low,SSA,0.731,0.7055,0.6799999999999999
15,Canada,0.936,82.7,16.4,13.8,"46,808",9,CAN,America,Northern Hemisphere,Very High,,0.175,0.14150000000000001,0.096
1,Switzerland,0.962,84.0,16.5,13.9,"66,933",5,CHE,Europe,Northern Hemisphere,Very High,,0.11599999999999999,0.08,0.036
42,Chile,0.855,78.9,16.7,10.9,"24,563",14,CHL,America,Southern Hemisphere,Very High,LAC,0.476,0.384,0.257
79,China,0.768,78.2,14.2,7.6,"17,504",-8,CHN,Asia,Northern Hemisphere,High,EAP,0.275,0.264,0.2185
151,Cameroon,0.576,60.3,13.1,6.2,"3,621",6,CMR,Africa,Northern Hemisphere,Medium,SSA,0.7,0.6599999999999999,0.595
153,Congo,0.571,63.5,12.3,6.2,"2,889",11,COG,Africa,Southern Hemisphere,Medium,SSA,0.624,0.6174999999999999,0.586
88,Colombia,0.752,72.8,14.4,8.9,"14,384",-7,COL,America,Northern Hemisphere,High,LAC,0.514,0.48050000000000004,0.4435
156,Comoros,0.558,63.4,11.9,5.1,"3,142",6,COM,Africa,Southern Hemisphere,Medium,SSA,,,
128,Cabo Verde,0.662,74.1,12.6,6.3,"6,230",2,CPV,Africa,Northern Hemisphere,Medium,SSA,,,0.349
58,Costa Rica,0.809,77.0,16.5,8.8,"19,974",8,CRI,America,Northern Hemisphere,Very High,LAC,0.45499999999999996,0.38,0.29100000000000004
