HDI rank,Country,Human Development Index (HDI Value) ,ISO3,Continent,Hemisphere,Human Development Groups,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021)
180,Afghanistan,0.478,AFG,Asia,Northern Hemisphere,Low,,0.753,0.712
148,Angola,0.586,AGO,Africa,Southern Hemisphere,Medium,0.7015,0.611,0.5405
67,Albania,0.796,ALB,Europe,Northern Hemisphere,High,0.33,0.2825,0.198
40,Andorra,0.858,AND,Europe,Northern Hemisphere,Very High,,,
26,United Arab Emirates,0.911,ARE,Asia,Northern Hemisphere,Very High,0.632,0.39,0.11499999999999999
47,Argentina,0.842,ARG,America,Southern Hemisphere,Very High,0.4285,0.38849999999999996,0.3245
85,Armenia,0.759,ARM,Asia,Northern Hemisphere,High,0.46599999999999997,0.39949999999999997,0.279
71,Antigua and Barbuda,0.788,ATG,America,Northern Hemisphere,High,,,
5,Australia,0.951,AUS,Oceania,Southern Hemisphere,Very High,0.17049999999999998,0.14350000000000002,0.10200000000000001
25,Austria,0.916,AUT,Europe,Northern Hemisphere,Very High,0.1745,0.13,0.078
91,Azerbaijan,0.745,AZE,Asia,Northern Hemisphere,High,0.351,0.346,0.3165
187,Burundi,0.426,BDI,Africa,Southern Hemisphere,Low,0.655,0.5780000000000001,0.521
13,Belgium,0.937,BEL,Europe,Northern Hemisphere,Very High,0.1545,0.113,0.069
166,Benin,0.525,BEN,Africa,Northern Hemisphere,Low,0.6855,0.646,0.614
184,Burkina Faso,0.449,BFA,Africa,Northern Hemisphere,Low,0.68,0.646,0.617
129,Bangladesh,0.661,BGD,Asia,Northern Hemisphere,Medium,0.7104999999999999,0.6479999999999999,0.562
68,Bulgaria,0.795,BGR,Europe,Northern Hemisphere,High,0.348,0.281,0.22349999999999998
35,Bahrain,0.875,BHR,Asia,Northern Hemisphere,Very High,,0.252,0.20400000000000001
55,Bahamas,0.812,BHS,America,Northern Hemisphere,Very High,0.3945,0.376,0.34550000000000003
74,Bosnia and Herzegovina,0.78,BIH,Europe,Northern Hemisphere,High,,0.222,0.162
60,Belarus,0.808,BLR,Europe,Northern Hemisphere,Very High,,0.151,0.1275
123,Belize,0.683,BLZ,America,Northern Hemisphere,Medium,0.5305,0.483,0.4085
87,Brazil,0.754,BRA,America,Southern Hemisphere,High,0.534,0.47850000000000004,0.4185
70,Barbados,0.79,BRB,America,Northern Hemisphere,High,0.38649999999999995,0.3405,0.29200000000000004
127,Bhutan,0.666,BTN,Asia,Northern Hemisphere,Medium,,0.526,0.46399999999999997
117,Botswana,0.693,BWA,Africa,Southern Hemisphere,Medium,0.5720000000000001,0.514,0.48750000000000004
188,Central African Republic,0.404,CAF,Africa,Northern Hemisphere,Low,0.731,0.7055,0.6799999999999999
15,Canada,0.936,CAN,America,Northern Hemisphere,Very High,0.175,0.14150000000000001,0.096
1,Switzerland,0.962,CHE,Europe,Northern Hemisphere,Very High,0.11599999999999999,0.08,0.036
42,Chile,0.855,CHL,America,Southern Hemisphere,Very High,0.476,0.384,0.257
79,China,0.768,CHN,Asia,Northern Hemisphere,High,0.275,0.264,0.2185
151,Cameroon,0.576,CMR,Africa,Northern Hemisphere,Medium,0.7,0.6599999999999999,0.595
153,Congo,0.571,COG,Africa,Southern Hemisphere,Medium,0.624,0.6174999999999999,0.586
88,Colombia,0.752,COL,America,Northern Hemisphere,High,0.514,0.48050000000000004,0.4435
156,Comoros,0.558,COM,Africa,Southern Hemisphere,Medium,,,
128,Cabo Verde,0.662,CPV,Africa,Northern Hemisphere,Medium,,,0.349
58,Costa Rica,0.809,CRI,America,Northern Hemisphere,Very High,0.45499999999999996,0.38,0.29100000000000004
83,Cuba,0.764,CUB,America,Northern Hemisphere,High,0.4085,0.351,0.316
29,Cyprus,0.896,CYP,Asia,Northern Hemisphere,Very High,0.308,0.1845,0.13
32,Czechia,0.889,CZE,Europe,Northern Hemisphere,Very High,0.239,0.1575,0.129
9,Germany,0.942,DEU,Europe,Northern Hemisphere,Very High,0.155,0.1145,0.08149999999999999
171,Djibouti,0.509,DJI,Africa,Northern Hemisphere,Low,,,
102,Dominica,0.72,DMA,America,Northern Hemisphere,High,,,
6,Denmark,0.948,DNK,Europe,Northern Hemisphere,Very High,0.08349999999999999,0.062,0.028499999999999998
80,Dominican Republic,0.767,DOM,America,Northern Hemisphere,High,0.5455,0.4975,0.45799999999999996
91,Algeria,0.745,DZA,Africa,Northern Hemisphere,High,0.6555,0.5585,0.5075000000000001
95,Ecuador,0.74,ECU,America,Southern Hemisphere,High,0.556,0.4685,0.39649999999999996
97,Egypt,0.731,EGY,Africa,Northern Hemisphere,High,0.646,0.587,0.498
176,Eritrea,0.492,ERI,Africa,Northern Hemisphere,Low,,,
27,Spain,0.905,ESP,Europe,Northern Hemisphere,Very High,0.16999999999999998,0.11699999999999999,0.076
31,Estonia,0.89,EST,Europe,Northern Hemisphere,Very High,0.336,0.22250000000000003,0.1395
175,Ethiopia,0.498,ETH,Africa,Northern Hemisphere,Low,,0.596,0.556
11,Finland,0.94,FIN,Europe,Northern Hemisphere,Very High,0.095,0.07700000000000001,0.0485
99,Fiji,0.73,FJI,Oceania,Southern Hemisphere,High,0.471,0.4065,0.35650000000000004
28,France,0.903,FRA,Europe,Northern Hemisphere,Very High,0.21000000000000002,0.162,0.10450000000000001
112,Gabon,0.706,GAB,Africa,Southern Hemisphere,High,0.6385000000000001,0.6005,0.5575
18,United Kingdom,0.929,GBR,Europe,Northern Hemisphere,Very High,0.2455,0.1945,0.1335
63,Georgia,0.802,GEO,Asia,Northern Hemisphere,Very High,,0.40149999999999997,0.34550000000000003
133,Ghana,0.632,GHA,Africa,Northern Hemisphere,Medium,0.627,0.5885,0.5505
182,Guinea,0.465,GIN,Africa,Northern Hemisphere,Low,0.698,0.6775,0.636
174,Gambia,0.5,GMB,Africa,Northern Hemisphere,Low,0.767,0.706,0.6335
177,Guinea-Bissau,0.483,GNB,Africa,Northern Hemisphere,Low,,0.661,0.643
145,Equatorial Guinea,0.596,GNQ,Africa,Northern Hemisphere,Medium,,,
33,Greece,0.887,GRC,Europe,Northern Hemisphere,Very High,0.26849999999999996,0.1785,0.1295
68,Grenada,0.795,GRD,America,Northern Hemisphere,High,,,
135,Guatemala,0.627,GTM,America,Northern Hemisphere,Medium,0.592,0.5665,0.511
108,Guyana,0.714,GUY,America,Northern Hemisphere,High,0.564,0.5285,0.472
137,Honduras,0.621,HND,America,Northern Hemisphere,Medium,0.536,0.5015000000000001,0.4485
40,Croatia,0.858,HRV,Europe,Northern Hemisphere,Very High,0.27849999999999997,0.1635,0.113
163,Haiti,0.535,HTI,America,Northern Hemisphere,Low,,0.625,0.6325000000000001
46,Hungary,0.846,HUN,Europe,Northern Hemisphere,Very High,0.318,0.26549999999999996,0.23149999999999998
114,Indonesia,0.705,IDN,Asia,Southern Hemisphere,High,0.577,0.5345,0.47
