HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,Human Development Groups
180,Afghanistan,0.478,62.0,10.3,3.0,"1,824",-2,Low
148,Angola,0.586,61.6,12.2,5.4,"5,466",-14,Medium
67,Albania,0.796,76.5,14.4,11.3,"14,131",17,High
40,Andorra,0.858,80.4,13.3,10.6,"51,167",-19,Very High
26,United Arab Emirates,0.911,78.7,15.7,12.7,"62,574",-15,Very High
47,Argentina,0.842,75.4,17.9,11.1,"20,925",17,Very High
85,Armenia,0.759,72.0,13.1,11.3,"13,158",4,High
71,Antigua and Barbuda,0.788,78.5,14.2,9.3,"16,792",2,High
5,Australia,0.951,84.5,21.1,12.7,"49,238",18,Very High
25,Austria,0.916,81.6,16.0,12.3,"53,619",-8,Very High
91,Azerbaijan,0.745,69.4,13.5,10.5,"14,257",-8,High
187,Burundi,0.426,61.7,10.7,3.1,732,4,Low
13,Belgium,0.937,81.9,19.6,12.4,"52,293",7,Very High
166,Benin,0.525,59.8,10.8,4.3,"3,409",-7,Low
184,Burkina Faso,0.449,59.3,9.1,2.1,"2,118",-8,Low
129,Bangladesh,0.661,72.4,12.4,7.4,"5,472",4,Medium
68,Bulgaria,0.795,71.8,13.9,11.4,"23,079",-8,High
35,Bahrain,0.875,78.8,16.3,11.0,"39,497",-1,Very High
55,Bahamas,0.812,71.6,12.9,12.6,"30,486",-8,Very High
74,Bosnia and Herzegovina,0.78,75.3,13.8,10.5,"15,242",4,High
60,Belarus,0.808,72.4,15.2,12.1,"18,849",8,Very High
123,Belize,0.683,70.5,13.0,8.8,"6,309",6,Medium
87,Brazil,0.754,72.8,15.6,8.1,"14,370",-5,High
70,Barbados,0.79,77.6,15.7,9.9,"12,306",26,High
127,Bhutan,0.666,71.8,13.2,5.2,"9,438",-15,Medium
117,Botswana,0.693,61.1,12.3,10.3,"16,198",-43,Medium
188,Central African Republic,0.404,53.9,8.0,4.3,966,1,Low
15,Canada,0.936,82.7,16.4,13.8,"46,808",9,Very High
1,Switzerland,0.962,84.0,16.5,13.9,"66,933",5,Very High
42,Chile,0.855,78.9,16.7,10.9,"24,563",14,Very High
79,China,0.768,78.2,14.2,7.6,"17,504",-8,High
151,Cameroon,0.576,60.3,13.1,6.2,"3,621",6,Medium
153,Congo,0.571,63.5,12.3,6.2,"2,889",11,Medium
88,Colombia,0.752,72.8,14.4,8.9,"14,384",-7,High
156,Comoros,0.558,63.4,11.9,5.1,"3,142",6,Medium
128,Cabo Verde,0.662,74.1,12.6,6.3,"6,230",2,Medium
58,Costa Rica,0.809,77.0,16.5,8.8,"19,974",8,Very High
83,Cuba,0.764,73.7,14.4,12.5,"7,879",37,High
29,Cyprus,0.896,81.2,15.6,12.4,"38,188",9,Very High
32,Czechia,0.889,77.7,16.2,12.9,"38,745",4,Very High
9,Germany,0.942,80.6,17.0,14.1,"54,534",6,Very High
171,Djibouti,0.509,62.3,7.4,4.1,"5,025",-32,Low
102,Dominica,0.72,72.8,13.3,8.1,"11,488",0,High
6,Denmark,0.948,81.4,18.7,13.0,"60,365",6,Very High
80,Dominican Republic,0.767,72.6,14.5,9.3,"17,990",-11,High
91,Algeria,0.745,76.4,14.6,8.1,"10,800",13,High
95,Ecuador,0.74,73.7,14.6,8.8,"10,312",11,High
97,Egypt,0.731,70.2,13.8,9.6,"11,732",4,High
176,Eritrea,0.492,66.5,8.1,4.9,"1,729",3,Low
27,Spain,0.905,83.0,17.9,10.6,"38,354",10,Very High
