HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,ISO3,Continent,Hemisphere,Human Development Groups,UNDP Developeing Regions,HDI Rank (2021),"Maternal Mortality Ratio (deaths per 100,000 live births) Average (1990-1999)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2000-2010)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2011-2021)"
180,Afghanistan,0.478,62.0,10.3,3.0,"1,824",-2,AFG,Asia,Northern Hemisphere,Low,SA,180,1485.0,1202.0,771.5
148,Angola,0.586,61.6,12.2,5.4,"5,466",-14,AGO,Africa,Southern Hemisphere,Medium,SSA,148,1029.5,576.5,270.5
67,Albania,0.796,76.5,14.4,11.3,"14,131",17,ALB,Europe,Northern Hemisphere,High,ECA,67,32.5,22.0,18.5
40,Andorra,0.858,80.4,13.3,10.6,"51,167",-19,AND,Europe,Northern Hemisphere,Very High,,40,,,
26,United Arab Emirates,0.911,78.7,15.7,12.7,"62,574",-15,ARE,Asia,Northern Hemisphere,Very High,AS,26,10.0,5.0,3.5
47,Argentina,0.842,75.4,17.9,11.1,"20,925",17,ARG,America,Southern Hemisphere,Very High,LAC,47,77.0,58.5,43.5
85,Armenia,0.759,72.0,13.1,11.3,"13,158",4,ARM,Asia,Northern Hemisphere,High,ECA,85,47.5,37.5,28.0
71,Antigua and Barbuda,0.788,78.5,14.2,9.3,"16,792",2,ATG,America,Northern Hemisphere,High,LAC,71,51.5,44.0,42.5
5,Australia,0.951,84.5,21.1,12.7,"49,238",18,AUS,Oceania,Southern Hemisphere,Very High,,5,7.5,6.0,6.0
25,Austria,0.916,81.6,16.0,12.3,"53,619",-8,AUT,Europe,Northern Hemisphere,Very High,,25,7.0,5.5,5.0
91,Azerbaijan,0.745,69.4,13.5,10.5,"14,257",-8,AZE,Asia,Northern Hemisphere,High,ECA,91,43.0,39.0,28.0
187,Burundi,0.426,61.7,10.7,3.1,732,4,BDI,Africa,Southern Hemisphere,Low,SSA,187,1160.0,837.5,591.5
13,Belgium,0.937,81.9,19.6,12.4,"52,293",7,BEL,Europe,Northern Hemisphere,Very High,,13,8.0,7.0,5.5
166,Benin,0.525,59.8,10.8,4.3,"3,409",-7,BEN,Africa,Northern Hemisphere,Low,SSA,166,548.5,492.0,427.5
184,Burkina Faso,0.449,59.3,9.1,2.1,"2,118",-8,BFA,Africa,Northern Hemisphere,Low,SSA,184,616.5,450.5,348.5
129,Bangladesh,0.661,72.4,12.4,7.4,"5,472",4,BGD,Asia,Northern Hemisphere,Medium,SA,129,520.0,346.0,210.5
68,Bulgaria,0.795,71.8,13.9,11.4,"23,079",-8,BGR,Europe,Northern Hemisphere,High,,68,22.5,15.5,11.0
35,Bahrain,0.875,78.8,16.3,11.0,"39,497",-1,BHR,Asia,Northern Hemisphere,Very High,AS,35,20.5,22.5,14.5
55,Bahamas,0.812,71.6,12.9,12.6,"30,486",-8,BHS,America,Northern Hemisphere,Very High,LAC,55,71.0,76.5,74.0
74,Bosnia and Herzegovina,0.78,75.3,13.8,10.5,"15,242",4,BIH,Europe,Northern Hemisphere,High,ECA,74,22.5,14.0,10.0
60,Belarus,0.808,72.4,15.2,12.1,"18,849",8,BLR,Europe,Northern Hemisphere,Very High,ECA,60,29.0,13.5,3.5
123,Belize,0.683,70.5,13.0,8.8,"6,309",6,BLZ,America,Northern Hemisphere,Medium,LAC,123,83.0,71.5,44.0
87,Brazil,0.754,72.8,15.6,8.1,"14,370",-5,BRA,America,Southern Hemisphere,High,LAC,87,95.0,67.0,60.5
70,Barbados,0.79,77.6,15.7,9.9,"12,306",26,BRB,America,Northern Hemisphere,High,LAC,70,64.5,43.0,31.0
127,Bhutan,0.666,71.8,13.2,5.2,"9,438",-15,BTN,Asia,Northern Hemisphere,Medium,SA,127,618.0,335.0,211.0
117,Botswana,0.693,61.1,12.3,10.3,"16,198",-43,BWA,Africa,Southern Hemisphere,Medium,SSA,117,251.5,220.5,160.0
188,Central African Republic,0.404,53.9,8.0,4.3,966,1,CAF,Africa,Northern Hemisphere,Low,SSA,188,1265.0,1140.0,905.0
15,Canada,0.936,82.7,16.4,13.8,"46,808",9,CAN,America,Northern Hemisphere,Very High,,15,8.0,10.0,10.5
1,Switzerland,0.962,84.0,16.5,13.9,"66,933",5,CHE,Europe,Northern Hemisphere,Very High,,1,8.0,6.5,5.5
42,Chile,0.855,78.9,16.7,10.9,"24,563",14,CHL,America,Southern Hemisphere,Very High,LAC,42,49.0,25.5,15.5
79,China,0.768,78.2,14.2,7.6,"17,504",-8,CHN,Asia,Northern Hemisphere,High,EAP,79,78.5,47.5,31.5
151,Cameroon,0.576,60.3,13.1,6.2,"3,621",6,CMR,Africa,Northern Hemisphere,Medium,SSA,151,851.5,741.5,559.0
153,Congo,0.571,63.5,12.3,6.2,"2,889",11,COG,Africa,Southern Hemisphere,Medium,SSA,153,713.0,622.5,433.0
88,Colombia,0.752,72.8,14.4,8.9,"14,384",-7,COL,America,Northern Hemisphere,High,LAC,88,108.5,89.5,83.5
156,Comoros,0.558,63.4,11.9,5.1,"3,142",6,COM,Africa,Southern Hemisphere,Medium,SSA,156,522.0,392.5,299.5
128,Cabo Verde,0.662,74.1,12.6,6.3,"6,230",2,CPV,Africa,Northern Hemisphere,Medium,SSA,128,226.5,94.0,62.5
58,Costa Rica,0.809,77.0,16.5,8.8,"19,974",8,CRI,America,Northern Hemisphere,Very High,LAC,58,44.5,36.0,28.5
83,Cuba,0.764,73.7,14.4,12.5,"7,879",37,CUB,America,Northern Hemisphere,High,LAC,83,55.5,43.5,37.0
29,Cyprus,0.896,81.2,15.6,12.4,"38,188",9,CYP,Asia,Northern Hemisphere,Very High,,29,12.5,11.0,7.0
32,Czechia,0.889,77.7,16.2,12.9,"38,745",4,CZE,Europe,Northern Hemisphere,Very High,,32,10.0,5.5,3.5
9,Germany,0.942,80.6,17.0,14.1,"54,534",6,DEU,Europe,Northern Hemisphere,Very High,,9,8.5,6.5,6.5
171,Djibouti,0.509,62.3,7.4,4.1,"5,025",-32,DJI,Africa,Northern Hemisphere,Low,AS,171,564.5,395.0,260.0
102,Dominica,0.72,72.8,13.3,8.1,"11,488",0,DMA,America,Northern Hemisphere,High,LAC,102,,,
6,Denmark,0.948,81.4,18.7,13.0,"60,365",6,DNK,Europe,Northern Hemisphere,Very High,,6,9.5,6.5,4.5
80,Dominican Republic,0.767,72.6,14.5,9.3,"17,990",-11,DOM,America,Northern Hemisphere,High,LAC,80,124.5,88.0,95.0
91,Algeria,0.745,76.4,14.6,8.1,"10,800",13,DZA,Africa,Northern Hemisphere,High,AS,91,198.5,138.0,114.0
95,Ecuador,0.74,73.7,14.6,8.8,"10,312",11,ECU,America,Southern Hemisphere,High,LAC,95,161.0,100.0,67.5
97,Egypt,0.731,70.2,13.8,9.6,"11,732",4,EGY,Africa,Northern Hemisphere,High,AS,97,99.0,54.5,39.5
176,Eritrea,0.492,66.5,8.1,4.9,"1,729",3,ERI,Africa,Northern Hemisphere,Low,SSA,176,1550.0,923.5,519.0
27,Spain,0.905,83.0,17.9,10.6,"38,354",10,ESP,Europe,Northern Hemisphere,Very High,,27,5.5,4.5,4.0
31,Estonia,0.89,77.1,15.9,13.5,"38,048",8,EST,Europe,Northern Hemisphere,Very High,,31,35.5,20.0,11.0
175,Ethiopia,0.498,65.0,9.7,3.2,"2,361",-5,ETH,Africa,Northern Hemisphere,Low,SSA,175,1155.0,813.5,479.5
11,Finland,0.94,82.0,19.1,12.9,"49,452",11,FIN,Europe,Northern Hemisphere,Very High,,11,5.5,5.0,3.5
99,Fiji,0.73,67.1,14.7,10.9,"9,980",9,FJI,Oceania,Southern Hemisphere,High,EAP,99,63.0,45.0,36.0
28,France,0.903,82.5,15.8,11.6,"45,937",-2,FRA,Europe,Northern Hemisphere,Very High,,28,11.5,9.5,8.5
